Waveno.;Adjusted
1155,5;1,97E+00
1156,5;2,00E+00
1157,5;2,01E+00
1158,5;1,96E+00
1159,5;1,95E+00
1160,5;1,98E+00
1161,5;1,97E+00
1162,5;1,95E+00
1163,5;1,88E+00
1164,5;1,69E+00
1165,5;1,04E+00
1166,5;1,79E+00
1167,5;1,98E+00
1168,5;2,02E+00
1169,5;1,91E+00
1170,5;1,89E+00
1171,5;1,87E+00
1172,5;1,80E+00
1173,5;1,28E+00
1174,5;7,47E-01
1175,5;1,50E+00
1176,5;1,70E+00
1177,5;1,82E+00
1178,5;1,75E+00
1179,5;1,87E+00
1180,5;1,63E+00
1181,5;1,83E+00
1182,5;1,87E+00
1183,5;1,85E+00
1184,5;1,74E+00
1185,5;1,64E+00
1186,5;1,13E+00
1187,5;1,06E+00
1188,5;1,69E+00
1189,5;1,82E+00
1190,5;1,74E+00
1191,5;1,63E+00
1192,5;1,79E+00
1193,5;1,74E+00
1194,5;1,86E+00
1195,5;1,83E+00
1196,5;1,73E+00
1197,5;1,45E+00
1198,5;1,01E+00
1199,5;1,71E+00
1200,5;1,85E+00
1201,5;1,79E+00
1202,5;1,83E+00
1203,5;1,83E+00
1204,5;1,87E+00
1205,5;1,75E+00
1206,5;1,61E+00
1207,5;1,78E+00
1208,5;1,71E+00
1209,5;1,65E+00
1210,5;1,42E+00
1211,5;8,36E-01
1212,5;7,91E-01
1213,5;1,52E+00
1214,5;1,60E+00
1215,5;1,54E+00
1216,5;1,58E+00
1217,5;1,53E+00
1218,5;8,69E-01
1219,5;1,41E+00
1220,5;1,34E+00
1221,5;1,31E+00
1222,5;1,44E+00
1223,5;1,43E+00
1224,5;1,04E+00
1225,5;7,17E-01
1226,5;1,30E+00
1227,5;1,62E+00
1228,5;1,52E+00
1229,5;1,30E+00
1230,5;1,44E+00
1231,5;1,75E+00
1232,5;1,66E+00
1233,5;1,52E+00
1234,5;1,71E+00
1235,5;1,52E+00
1236,5;1,10E+00
1237,5;1,09E+00
1238,5;1,24E+00
1239,5;1,15E+00
1240,5;1,20E+00
1241,5;1,15E+00
1242,5;1,05E+00
1243,5;7,70E-01
